player_id,full_name,birth_date,total_bp_saved,total_bp_faced_as_server,total_bp_opportunities,total_bp_converted,age_estimate
100644,"Alexander Zverev",19970420,169,271,378,133,26
104527,"Stan Wawrinka",19850328,126,191,181,69,38
104918,"Andy Murray",19870515,68,120,169,50,36
104925,"Novak Djokovic",19870522,164,237,433,194,36
105173,"Adrian Mannarino",19880629,105,171,162,67,35
105526,"Jan Lennard Struff",19900425,104,148,118,51,33
105554,"Daniel Evans",19900523,81,131,116,34,33
105777,"Grigor Dimitrov",19910516,128,202,269,110,32
106234,"Aslan Karatsev",19930904,82,125,112,48,30
106415,"Yoshihito Nishioka",19950927,78,158,188,62,28
106421,"Daniil Medvedev",19960211,191,292,394,183,27
106432,"Borna Coric",19961114,100,163,142,50,27
111153,"Christopher Eubanks",19960505,76,128,120,45,27
111456,"Mackenzie Mcdonald",19950416,120,187,159,70,28
111513,"Laslo Djere",19950602,108,166,132,54,28
111575,"Karen Khachanov",19960521,109,177,249,106,27
111797,"Nicolas Jarry",19951011,113,159,164,65,28
111815,"Cameron Norrie",19950823,133,212,216,93,28
122298,"Botic Van De Zandschulp",19951004,113,185,171,56,28
122330,"Alexander Bublik",19970617,77,130,106,40,26
124116,"Sebastian Ofner",19960512,39,82,74,31,27
126094,"Andrey Rublev",19971020,165,264,433,173,26
126128,"Roman Safiullin",19970807,83,144,175,77,26
126203,"Taylor Fritz",19971028,124,206,256,123,26
126205,"Tommy Paul",19970517,155,250,339,134,26
126207,"Frances Tiafoe",19980120,116,186,262,102,25
126774,"Stefanos Tsitsipas",19980812,125,196,304,116,25
126845,"Max Purcell",19980403,74,113,83,36,25
128034,"Hubert Hurkacz",19970211,145,226,299,115,26
132283,"Lorenzo Sonego",19950511,114,176,154,68,28
134770,"Casper Ruud",19981222,149,226,291,110,25
134868,"Tallon Griekspoor",19960702,56,98,112,36,27
144869,"Tomas Martin Etcheverry",19990718,102,171,166,62,24
200000,"Felix Auger Aliassime",20000808,72,124,157,44,23
200005,"Ugo Humbert",19980626,93,162,216,71,25
200221,"Alejandro Davidovich Fokina",19990605,131,227,256,116,24
200282,"Alex De Minaur",19990217,124,217,272,116,24
200615,"Alexei Popyrin",19990805,116,164,139,41,24
200624,"Sebastian Korda",20000705,83,136,146,60,23
202103,"Francisco Cerundolo",19980813,170,273,291,126,25
202104,"Sebastian Baez",20001228,67,119,140,46,23
206173,"Jannik Sinner",20010816,163,240,396,174,22
207518,"Lorenzo Musetti",20020303,113,184,203,86,21
207686,"Alexander Shevchenko",20001129,55,101,76,32,23
207989,"Carlos Alcaraz",20030505,168,254,494,186,20
208029,"Holger Rune",20030429,157,250,293,117,20
208103,"Jiri Lehecka",20011108,126,198,175,66,22
208286,"Matteo Arnaldi",20010222,104,152,115,49,22
209950,"Arthur Fils",20040612,56,98,87,31,19
