surface,player_id,winner_name,total_serve_points,total_1st_serve_won,total_2nd_serve_won
Hard,111456,"Mackenzie Mcdonald",984,458,217
Hard,106415,"Yoshihito Nishioka",506,235,111
Hard,111575,"Karen Khachanov",1097,562,209
Hard,106186,"Jason Kubler",242,117,58
Hard,126207,"Frances Tiafoe",987,464,227
Hard,128034,"Hubert Hurkacz",1806,977,306
Hard,132283,"Lorenzo Sonego",644,341,114
Hard,200624,"Sebastian Korda",848,392,179
Hard,106421,"Daniil Medvedev",1693,834,306
Hard,126774,"Stefanos Tsitsipas",1135,576,231
Hard,134868,"Tallon Griekspoor",420,217,77
Hard,122298,"Botic Van De Zandschulp",682,305,129
Hard,144750,"Lloyd Harris",173,80,30
Hard,144869,"Tomas Martin Etcheverry",419,212,73
Hard,206173,"Jannik Sinner",1626,743,373
Hard,111815,"Cameron Norrie",615,297,107
Hard,111153,"Christopher Eubanks",647,332,106
Hard,208103,"Jiri Lehecka",764,377,155
Hard,144684,"Alex Molcan",349,136,65
Hard,200000,"Felix Auger Aliassime",815,395,175
Hard,126094,"Andrey Rublev",1555,780,316
Hard,200325,"Emil Ruusuvuori",387,174,67
Hard,105554,"Daniel Evans",321,151,80
Hard,106045,"Denis Kudla",116,58,22
Hard,200005,"Ugo Humbert",780,378,150
Hard,208029,"Holger Rune",559,284,112
Hard,105173,"Adrian Mannarino",991,435,238
Hard,200282,"Alex De Minaur",1144,469,292
Hard,105777,"Grigor Dimitrov",1221,629,248
Hard,111513,"Laslo Djere",460,205,101
Hard,104925,"Novak Djokovic",2010,979,436
Hard,126203,"Taylor Fritz",1187,546,295
Hard,200615,"Alexei Popyrin",692,354,132
Hard,111797,"Nicolas Jarry",653,344,137
Hard,100644,"Alexander Zverev",1338,685,227
Hard,104918,"Andy Murray",767,356,170
Hard,200221,"Alejandro Davidovich Fokina",997,449,216
Hard,126205,"Tommy Paul",1857,874,395
Hard,134770,"Casper Ruud",524,266,113
Hard,202103,"Francisco Cerundolo",1022,461,186
Hard,210097,"Ben Shelton",788,410,155
Hard,111581,"Michael Mmoh",214,92,44
Hard,202385,"Jenson Brooksby",143,51,36
Hard,105138,"Roberto Bautista Agut",148,87,27
Hard,207989,"Carlos Alcaraz",1625,760,366
Hard,207733,"Jack Draper",231,99,56
Hard,104527,"Stan Wawrinka",622,263,174
Hard,106426,"Cristian Garin",198,96,35
Hard,202104,"Sebastian Baez",314,168,47
Hard,105916,"Marton Fucsovics",374,146,86
Hard,125802,"Ilya Ivashka",122,56,22
Hard,111442,"Jordan Thompson",107,55,23
Hard,105526,"Jan Lennard Struff",186,65,50
Hard,106214,"Oscar Otte",63,30,17
Hard,126555,"Tung Lin Wu",61,31,13
Hard,111460,"Quentin Halys",291,134,61
Hard,106121,"Taro Daniel",117,57,24
Hard,200175,"Miomir Kecmanovic",119,56,24
Hard,106296,"Gregoire Barrere",124,57,32
Hard,105583,"Dusan Lajovic",319,174,46
Hard,200670,"J J Wolf",271,111,57
Clay,126094,"Andrey Rublev",868,367,203
Clay,208029,"Holger Rune",1033,465,222
Clay,206173,"Jannik Sinner",359,165,94
Clay,126203,"Taylor Fritz",475,229,128
Clay,207518,"Lorenzo Musetti",582,264,129
Clay,106421,"Daniil Medvedev",719,322,137
Clay,105526,"Jan Lennard Struff",753,358,163
Clay,126774,"Stefanos Tsitsipas",907,479,165
Clay,104925,"Novak Djokovic",969,475,180
Clay,128034,"Hubert Hurkacz",658,299,144
Clay,100644,"Alexander Zverev",959,473,160
Clay,126610,"Matteo Berrettini",100,48,20
Clay,111575,"Karen Khachanov",825,382,176
Clay,134770,"Casper Ruud",958,436,201
Clay,208103,"Jiri Lehecka",291,130,51
Clay,111797,"Nicolas Jarry",468,236,98
Clay,123809,"Ivan Gakhov",98,39,21
Clay,207733,"Jack Draper",91,41,14
Clay,132283,"Lorenzo Sonego",568,276,100
Clay,202103,"Francisco Cerundolo",654,308,107
Clay,125802,"Ilya Ivashka",80,39,12
Clay,200282,"Alex De Minaur",224,92,62
Clay,122298,"Botic Van De Zandschulp",90,37,18
Clay,104527,"Stan Wawrinka",464,194,117
Clay,105777,"Grigor Dimitrov",492,230,108
Clay,200615,"Alexei Popyrin",304,151,65
Clay,207989,"Carlos Alcaraz",851,429,158
Clay,106432,"Borna Coric",840,376,197
Clay,106234,"Aslan Karatsev",482,234,106
Clay,111190,"Zhizhen Zhang",194,92,46
Clay,144719,"Jaume Munar",113,55,20
Clay,200221,"Alejandro Davidovich Fokina",464,234,68
Clay,106398,"Pedro Cachin",118,64,25
Clay,126523,"Bernabe Zapata Miralles",241,126,37
Clay,126409,"Hugo Grenier",106,43,21
Clay,106415,"Yoshihito Nishioka",494,212,95
Clay,208286,"Matteo Arnaldi",337,143,77
Clay,105870,"Yannick Hanfmann",273,137,49
Clay,105583,"Dusan Lajovic",86,45,15
Clay,126207,"Frances Tiafoe",379,166,89
Clay,126128,"Roman Safiullin",263,145,42
Clay,202104,"Sebastian Baez",158,77,30
Clay,111815,"Cameron Norrie",427,210,70
Clay,207686,"Alexander Shevchenko",303,113,81
Clay,200325,"Emil Ruusuvuori",179,79,37
Clay,111460,"Quentin Halys",79,42,18
Clay,122330,"Alexander Bublik",279,137,53
Clay,144869,"Tomas Martin Etcheverry",421,213,80
Clay,131934,"Andrea Vavassori",58,32,10
Clay,111513,"Laslo Djere",113,55,27
Clay,206681,"Fabian Marozsan",167,77,37
Clay,105916,"Marton Fucsovics",77,30,16
Clay,106426,"Cristian Garin",99,43,15
Clay,106296,"Gregoire Barrere",102,38,26
