player_id,full_name,half_year,total_wins,total_losses,total_matches
100644,"Alexander Zverev",H1,14,7,21
100644,"Alexander Zverev",H2,13,6,19
104527,"Stan Wawrinka",H1,7,6,13
104527,"Stan Wawrinka",H2,6,5,11
104925,"Novak Djokovic",H1,18,2,20
104925,"Novak Djokovic",H2,23,1,24
105173,"Adrian Mannarino",H1,6,6,12
105173,"Adrian Mannarino",H2,7,6,13
105526,"Jan Lennard Struff",H1,11,6,17
105777,"Grigor Dimitrov",H1,9,7,16
105777,"Grigor Dimitrov",H2,14,5,19
106415,"Yoshihito Nishioka",H1,7,6,13
106421,"Daniil Medvedev",H1,22,5,27
106421,"Daniil Medvedev",H2,14,6,20
106432,"Borna Coric",H1,9,7,16
111153,"Christopher Eubanks",H2,6,6,12
111456,"Mackenzie Mcdonald",H1,5,7,12
111456,"Mackenzie Mcdonald",H2,8,6,14
111513,"Laslo Djere",H1,5,7,12
111575,"Karen Khachanov",H1,19,7,26
111797,"Nicolas Jarry",H1,6,5,11
111797,"Nicolas Jarry",H2,9,5,14
111815,"Cameron Norrie",H1,10,7,17
122298,"Botic Van De Zandschulp",H1,4,7,11
126094,"Andrey Rublev",H1,19,6,25
126094,"Andrey Rublev",H2,16,6,22
126128,"Roman Safiullin",H2,9,5,14
126203,"Taylor Fritz",H1,14,7,21
126203,"Taylor Fritz",H2,11,5,16
126205,"Tommy Paul",H1,10,6,16
126205,"Tommy Paul",H2,14,6,20
126207,"Frances Tiafoe",H1,11,6,17
126207,"Frances Tiafoe",H2,7,6,13
126774,"Stefanos Tsitsipas",H1,20,7,27
126774,"Stefanos Tsitsipas",H2,9,6,15
128034,"Hubert Hurkacz",H1,10,7,17
128034,"Hubert Hurkacz",H2,19,5,24
132283,"Lorenzo Sonego",H1,10,7,17
134770,"Casper Ruud",H1,14,7,21
134770,"Casper Ruud",H2,5,6,11
144869,"Tomas Martin Etcheverry",H1,8,6,14
200000,"Felix Auger Aliassime",H1,7,6,13
200005,"Ugo Humbert",H1,6,7,13
200005,"Ugo Humbert",H2,6,6,12
200221,"Alejandro Davidovich Fokina",H1,10,7,17
200221,"Alejandro Davidovich Fokina",H2,10,6,16
200282,"Alex De Minaur",H1,6,7,13
200282,"Alex De Minaur",H2,12,6,18
200615,"Alexei Popyrin",H1,8,7,15
200624,"Sebastian Korda",H2,5,6,11
202103,"Francisco Cerundolo",H1,12,7,19
202103,"Francisco Cerundolo",H2,7,6,13
206173,"Jannik Sinner",H1,18,6,24
206173,"Jannik Sinner",H2,15,4,19
207518,"Lorenzo Musetti",H1,8,7,15
207518,"Lorenzo Musetti",H2,5,6,11
207989,"Carlos Alcaraz",H1,22,3,25
207989,"Carlos Alcaraz",H2,20,5,25
208029,"Holger Rune",H1,18,7,25
208029,"Holger Rune",H2,6,6,12
208103,"Jiri Lehecka",H1,10,7,17
